@relation 'Cell Measurements'

@attribute Id {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156}
@attribute Measurement {Sig_01_Tot,Sig_01_Window,Sig_02_Tot,Sig_02_Window,Sig_03_Tot,Sig_03_Window,Sig_04_Tot,Sig_04_Window,Sig_10_Tot,Sig_10_Window,Sig_12_Tot,Sig_12_Window,Sig_13_Tot,Sig_13_Window,Sig_14_Tot,Sig_14_Window,Sig_20_Tot,Sig_20_Window,Sig_21_Tot,Sig_21_Window,Sig_23_Tot,Sig_23_Window,Sig_24_Tot,Sig_24_Window,Sig_30_Tot,Sig_30_Window,Sig_31_Tot,Sig_31_Window,Sig_32_Tot,Sig_32_Window,Sig_34_Tot,Sig_34_Window,Sig_40_Tot,Sig_40_Window,Sig_41_Tot,Sig_41_Window,Sig_42_Tot,Sig_42_Window,Sig_43_Tot,Sig_43_Window,n}
@attribute x {0}
@attribute y {0}
@attribute Value numeric

@data
2,Sig_43_Tot,0,0,2472025
2,Sig_43_Window,0,0,677430.769231
2,n,0,0,23642
3,Sig_01_Tot,0,0,25855176
3,Sig_01_Window,0,0,216714.118812
3,Sig_02_Tot,0,0,25855176
3,Sig_02_Window,0,0,6989597.517857
3,Sig_03_Tot,0,0,25855176
3,Sig_03_Window,0,0,248434.6
3,Sig_04_Tot,0,0,25855176
3,Sig_04_Window,0,0,285907.765957
3,Sig_10_Tot,0,0,983736
3,Sig_10_Window,0,0,1386.187862
3,Sig_12_Tot,0,0,983736
3,Sig_12_Window,0,0,1300.251006
3,Sig_13_Tot,0,0,983736
3,Sig_13_Window,0,0,2147.230769
3,Sig_14_Tot,0,0,983736
3,Sig_14_Window,0,0,2625.826087
3,Sig_20_Tot,0,0,57173337
3,Sig_20_Window,0,0,8927571.982063
3,Sig_21_Tot,0,0,57173337
3,Sig_21_Window,0,0,1002297.056604
3,Sig_23_Tot,0,0,57173337
3,Sig_23_Window,0,0,1564146.551724
3,Sig_24_Tot,0,0,57173337
3,Sig_24_Window,0,0,1629639.752066
3,Sig_30_Tot,0,0,362882
3,Sig_30_Window,0,0,21681.489308
3,Sig_31_Tot,0,0,362882
3,Sig_31_Window,0,0,18782.548926
3,Sig_32_Tot,0,0,362882
3,Sig_32_Window,0,0,41077.225994
3,Sig_34_Tot,0,0,362882
3,Sig_34_Window,0,0,24904.742268
3,Sig_40_Tot,0,0,301970
3,Sig_40_Window,0,0,69763.628841
